cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.beta2,e1.sigma,e1.theta1,e1.theta2,e1.theta3,e1.theta4,e2.te2,e2.te,e2.pnde,e2.tnie,e2.tnde,e2.pnie,e2.pm,e2.beta0,e2.beta1,e2.beta2,e2.sigma,e2.theta1,e2.theta2,e2.theta3,e2.theta4,e3.te2,e3.te,e3.pnde,e3.tnie,e3.tnde,e3.pnie,e3.pm,e3.beta0,e3.beta1,e3.beta2,e3.sigma,e3.theta1,e3.theta2,e3.theta3,e3.theta4,interaction,iter,method
90,-0.363783018541535,-0.316131238369413,0.0629498358472299,-0.379081074216643,0.0995076824549682,-0.415638920824381,1.239722253405,90.2545724574869,-25.7413227481489,-0.876176093576188,19.4523764835792,0.050103544197885,0.0161467584588003,-0.00142020077854652,-0.018738803132621,-0.363783018541535,-0.358196784805869,0.0379032513081233,-0.396100036113992,0.0379032513081233,-0.396100036113992,1.12831384843121,90.2545724574869,-25.7413227481489,-0.876176093576188,19.4523764835792,0.0379032513081233,0.0153877110352644,,-0.0185467388999229,-0.363783018541535,-0.782478396541995,0.318818665433489,-1.10129706197548,0.0147479017262295,-0.797226298268225,1.69187769229785,90.2545724574842,-25.7413227481493,-0.876176093576168,1.2803771025635e-12,0.494666944053743,0.0309706811133295,0.0118125539500149,0,1,1,1_0_adj
110,-0.573876224014676,-0.582118881639438,-0.0499566261587791,-0.532162255480659,-0.0629755591783669,-0.519143322461071,0.889574482585414,95.8385580156188,-36.5149184471103,-0.884765310422436,19.6519875175909,-0.0482546222192693,0.0142172937675602,0.000356537370840494,-0.0209734495282401,-0.573876224014676,-0.576213873782703,-0.0497506739507538,-0.526463199831949,-0.0497506739507538,-0.526463199831949,0.889187572888885,95.8385580156188,-36.5149184471103,-0.884765310422436,19.6519875175909,-0.0497506739507538,0.014417756419051,,-0.0210154656624871,-0.573876224014676,-0.835603287087032,0.778599921861472,-1.6142032089485,0.347403375849558,-1.18300666293659,3.08059114104307,95.8385580156182,-36.5149184471106,-0.884765310422451,2.19432703532943e-12,0.900623316808803,0.0323978996324501,0.0118087774627368,0,1,1,1_0_adj
130,-0.649111818021518,-0.645148317651948,0.0441852760203758,-0.689333593672324,0.0600951063549102,-0.705243424006858,1.09502425765078,102.799388679634,-44.8555557653171,-0.914067281653567,20.0602957449305,0.0439607368763857,0.0157225434391376,-0.000354690295618542,-0.0190172777235838,-0.649111818021518,-0.647247722206355,0.048527414466393,-0.695775136672748,0.048527414466393,-0.695775136672748,1.10434950477906,102.799388679634,-44.8555557653171,-0.914067281653567,20.0602957449305,0.048527414466393,0.0155114595015392,,-0.0189837243605858,-0.649111818021518,-0.796330652215706,1.10597412554314,-1.90230477775884,0.561258000431688,-1.35758865264739,4.68323507317299,102.799388679631,-44.8555557653173,-0.914067281653566,2.81442356298524e-12,1.18962882117674,0.0302657860210282,0.0121437827670977,0,1,1,1_0_adj
150,-0.782611139536611,-0.780915260796824,-0.0683799781654886,-0.712535282631335,-0.0582344151833011,-0.722680845613523,0.878057511655231,105.010636714603,-48.9685913845729,-0.913664246571509,20.4418359728644,-0.0680703265609961,0.014758048479238,-0.000207185109788225,-0.0201556242040335,-0.782611139536611,-0.780884753255604,-0.0647087938836729,-0.716175959371931,-0.0647087938836729,-0.716175959371931,0.884391719287092,105.010636714603,-48.9685913845729,-0.913664246571509,20.4418359728644,-0.0647087938836729,0.0146252105507277,,-0.0201444835232625,-0.782611139536611,-0.851337809356366,1.21542572402421,-2.06676353338057,0.650346529867367,-1.50168433922373,5.13801334399082,105.010636714601,-48.9685913845727,-0.913664246571519,2.81382509054701e-12,1.26884349029769,0.0306662760100719,0.0115396252614051,0,1,1,1_0_adj
1000,-0.755943647383306,-0.756797765660369,-0.00600400895471881,-0.75079375670565,-0.0545461949980531,-0.702251570662316,0.988723357063504,105.795799232866,-51.5950281188338,-0.909630849507059,20.6713869595971,-0.00850389461813782,0.0136108380258053,0.000940830692669298,-0.0208084899483162,-0.755943647383306,-0.759218884008148,-0.0241600075280016,-0.735058876480146,-0.0241600075280016,-0.735058876480146,0.955127968149254,105.795799232866,-51.5950281188338,-0.909630849507059,20.6713869595971,-0.0241600075280016,0.0142466997941576,,-0.0208131997830527,-0.755943647383306,-0.798636479228527,1.42983496729653,-2.22847144652506,0.81225838834119,-1.61089486756972,6.77759058796306,105.795799232862,-51.5950281188335,-0.909630849507057,3.17465850195583e-12,1.47005196679581,0.0312219011463568,0.0119696916829456,0,1,1,1_0_adj
90,-0.401210773429085,-0.387667726052638,-0.00916461070645296,-0.378503115346185,0.00171949488832443,-0.389387220940962,0.971612269138656,92.8960755827435,-26.4728867961272,-0.905507110295096,19.4774164166629,-0.0133840135746477,0.0147089066613592,-0.000411141621183893,-0.0183378972318643,-0.401210773429085,-0.400383484984275,-0.0168653746799426,-0.383518110304333,-0.0168653746799426,-0.383518110304333,0.949311679713232,92.8960755827435,-26.4728867961272,-0.905507110295096,19.4774164166629,-0.0168653746799426,0.0144872039554235,,-0.0182921776313052,-0.401210773429085,-0.767750117424404,0.286699634972097,-1.0544497523965,0.0202856807311336,-0.788035798155537,1.61951255903631,92.8960755827429,-26.472886796127,-0.905507110295111,1.71711460737672e-12,0.445350891426377,0.0297676564034878,0.0100636532877079,0,1,2,1_0_adj
110,-0.566100456058688,-0.582636370958254,-0.0100445212370916,-0.572591849721163,-0.0410801747472394,-0.541556196211015,0.977366867119332,99.1077225801693,-36.4739991050172,-0.919958790084425,19.6074176896744,-0.00543644490996045,0.0148477328919087,0.000850898016989827,-0.0181938455826879,-0.566100456058688,-0.568089591926095,-0.00911309525243602,-0.55897649667366,-0.00911309525243602,-0.55897649667366,0.979068204075931,99.1077225801693,-36.4739991050172,-0.919958790084425,19.6074176896744,-0.00911309525243602,0.0153253416238848,,-0.0183131144434199,-0.566100456058688,-0.8872112760503,0.653801053408524,-1.54101232945882,0.144366041126347,-1.03157731717665,2.5689217418262,99.1077225801667,-36.4739991050173,-0.919958790084422,2.32048521033344e-12,0.811452047933381,0.028282539411335,0.013967073114615,0,1,2,1_0_adj
130,-0.681992536649452,-0.671084179016654,-0.026170038000136,-0.644914141016518,0.00281659082866003,-0.673900769845314,0.947160096837078,103.844226603903,-45.1338844797941,-0.921987670663803,19.9811478990355,-0.0267874157514335,0.0149311493484903,-0.000642236518369541,-0.0204461274063018,-0.681992536649452,-0.675106374207835,-0.0186620084954891,-0.656444365712346,-0.0186620084954891,-0.656444365712346,0.962336450138345,103.844226603903,-45.1338844797941,-0.921987670663803,19.9811478990355,-0.0186620084954891,0.0145443799770044,,-0.0203888895076422,-0.681992536649452,-0.836005968962521,1.11009353587512,-1.94609950483764,0.53879040436305,-1.37479637332557,4.59120992737521,103.844226603901,-45.1338844797947,-0.9219876706638,2.52145282257634e-12,1.19609547017284,0.0304604043984078,0.0126579650321883,0,1,2,1_0_adj
150,-0.727017629409394,-0.728350461715466,0.0653100684420871,-0.793660530157553,-0.0261335064402067,-0.702216955275259,1.13046697217164,104.279422556446,-49.4283795888751,-0.907723143020593,20.3024324088209,0.0623689227018309,0.0142067565458551,0.00185002170095164,-0.0187877683824393,-0.727017629409394,-0.729018817486618,0.0306169250576972,-0.759635742544315,0.0306169250576972,-0.759635742544315,1.06006446275655,104.279422556446,-49.4283795888751,-0.907723143020593,20.3024324088209,0.0306169250576972,0.0153684128199762,,-0.0188796243817328,-0.727017629409394,-0.8112402875409,1.32462595838823,-2.13586624592913,0.61991957052924,-1.43115985807014,5.96816892935657,104.279422556442,-49.4283795888754,-0.907723143020585,2.90356404891529e-12,1.39088385526355,0.028954213550473,0.0142571209843502,0,1,2,1_0_adj
1000,-0.768482885571435,-0.763895188551883,0.0154530253844627,-0.779348213936345,0.0309570209060928,-0.794852209457976,1.02915471654679,105.369861860844,-50.8518544125129,-0.907946705261162,20.4119170504543,0.0163265938748311,0.0156307418606624,-0.000304885548437642,-0.0203749178677844,-0.768482885571435,-0.763014484819016,0.0215101305292937,-0.784524615348309,0.0215101305292937,-0.784524615348309,1.04073723392996,105.369861860844,-50.8518544125129,-0.907946705261162,20.4119170504543,0.0215101305292937,0.0154276500712089,,-0.0203689713127474,-0.768482885571435,-0.812411840867897,1.42585927971999,-2.23827112058788,0.802576039920574,-1.61498788078847,6.68384578162911,105.36986186084,-50.8518544125126,-0.907946705261153,2.6710698186877e-12,1.46978465531168,0.0317586821453474,0.0122568438653841,0,1,2,1_0_adj
