cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.beta2,e1.sigma,e1.theta1,e1.theta2,e1.theta3,e1.theta4,e2.te2,e2.te,e2.pnde,e2.tnie,e2.tnde,e2.pnie,e2.pm,e2.beta0,e2.beta1,e2.beta2,e2.sigma,e2.theta1,e2.theta2,e2.theta3,e2.theta4,e3.te2,e3.te,e3.pnde,e3.tnie,e3.tnde,e3.pnie,e3.pm,e3.beta0,e3.beta1,e3.beta2,e3.sigma,e3.theta1,e3.theta2,e3.theta3,e3.theta4,interaction,iter,method
90,0.690146080018656,0.660527571453873,0.455087418850661,0.205440152603211,0.39569995004448,0.264827621409393,0.384160121827421,64.7202474541021,-46.8888546989817,-0.55745957857373,18.8075860402093,0.460088716705223,-0.00564798656545441,0.00126655831513563,-0.0257307883341596,0.690146080018656,0.691302272790536,0.456926361009749,0.234375911780786,0.456926361009749,0.234375911780786,0.418644293869999,64.7202474541021,-46.8888546989817,-0.55745957857373,18.8075860402093,0.456926361009749,-0.00499854204768785,,-0.0257344050929299,0.690146080018656,0.688195239740992,0.478402910114699,0.209792329626293,0.42803139533277,0.260163844408222,0.380383110616418,2.2053388569246,-46.8888546989817,-0.0277358911410665,18.8075860402093,0.481513603399433,-0.00554852205451442,0.00107427479526437,-0.0230796643727291,1,1,1_0_adj
110,0.709708913850979,0.699165051498539,0.51487403716557,0.184291014332969,0.48089726142593,0.218267790072609,0.334604969546938,65.6765499010058,-46.6880047093395,-0.567509696245245,18.7522388823639,0.517741786049,-0.00467502930209709,0.000727741010804928,-0.0219641257124545,0.709708913850979,0.710605852492687,0.509635966744613,0.200969885748074,0.509635966744613,0.200969885748074,0.357931106310741,65.6765499010058,-46.6880047093395,-0.567509696245245,18.7522388823639,0.509635966744613,-0.00430452933251766,,-0.0219669735500553,0.709708913850979,0.708922943447762,0.528257821392316,0.180665122055447,0.487203448657344,0.221719494790419,0.325475978390087,1.51390605382705,-46.6880047093394,-0.0159395544684056,18.7522388823639,0.529941033136853,-0.00474896059856819,0.000879334488388619,-0.0195781010862001,1,1,1_0_adj
130,0.712316908791158,0.713507094306818,0.513683949278894,0.199823145027925,0.522848366177055,0.190658728129764,0.355092326455541,66.0898691262632,-47.2113049476707,-0.57113757897018,18.8191496660153,0.512924715495995,-0.00403841258658474,-0.000194114882194403,-0.022171298093507,0.712316908791158,0.711752588439312,0.516604591197856,0.195147997241455,0.516604591197856,0.195147997241455,0.348156513599143,66.0898691262632,-47.2113049476707,-0.57113757897018,18.8191496660153,0.516604591197856,-0.00413350144542199,,-0.0221691498615719,0.712316908791158,0.712656049225754,0.502395457945773,0.210260591279981,0.532000064116684,0.18065598510907,0.372065680057033,-0.195335614057685,-47.2113049476707,0.00182763427605416,18.8191496660153,0.501491059604113,-0.00382654081070859,-0.000627066042841336,-0.0198014143544939,1,1,1_0_adj
150,0.685834402767161,0.689539755241912,0.468261187899965,0.221278567341947,0.501855506763862,0.18768424847805,0.398453227401593,65.5043129216033,-46.9688959677562,-0.56289241798509,18.8644927746364,0.465691973271454,-0.00399592633829192,-0.000715246083002657,-0.0218658717902008,0.685834402767161,0.685743497510058,0.481475895312353,0.204267602197705,0.481475895312353,0.204267602197705,0.372278095656575,65.5043129216033,-46.9688959677562,-0.56289241798509,18.8644927746364,0.481475895312353,-0.00434899730957979,,-0.0218679117223281,0.685834402767161,0.685984960177563,0.478078628076431,0.207906332101132,0.485252996549136,0.200731963628427,0.378151893497808,0.544303534586644,-46.9688959677562,-0.00480635353257917,18.8644927746364,0.477837207554361,-0.0042737211401824,-0.000152747223984781,-0.0194410181808098,1,1,1_0_adj
1000,0.742342063224985,0.7450805668432,0.50070462348149,0.24437594336171,0.540662993130638,0.204417573712561,0.412726496447701,64.8315535236276,-47.3573488859822,-0.557051383838298,19.002556640192,0.497561079354759,-0.00431649107311134,-0.000843762807444144,-0.0234951169978006,0.742342063224985,0.741868814477284,0.517753133849294,0.22411568062799,0.517753133849294,0.22411568062799,0.383326049095918,64.8315535236276,-47.3573488859822,-0.557051383838298,19.002556640192,0.517753133849294,-0.00473243722252216,,-0.0234978538581059,0.742342063224985,0.742607993395811,0.50812836700978,0.234479626386032,0.528637541851036,0.213970451544776,0.398790644151005,-0.0429157010459424,-47.3573488859823,0.000369356630550617,19.002556640192,0.507388550482624,-0.00451821008941889,-0.000433072697769344,-0.020858876696929,1,1,1_0_adj
90,0.683898674524393,0.665644261073077,0.490736591257482,0.174907669815594,0.45255733331948,0.213086927753596,0.330136671164501,63.966726890632,-46.9136281697732,-0.55036071275273,18.956715507478,0.493635884659187,-0.00454211145176126,0.000813820193139558,-0.0211190330486694,0.683898674524393,0.684948126228994,0.490685596301893,0.194262529927101,0.490685596301893,0.194262529927101,0.35604786049443,63.966726890632,-46.9136281697732,-0.55036071275273,18.956715507478,0.490685596301893,-0.00414085496061177,,-0.0211125247949449,0.683898674524393,0.6832965551597,0.5110388374969,0.172257717662801,0.467564588098235,0.215731967061466,0.319639794575766,0.584100060645848,-46.9136281697733,-0.00734165176268014,18.956715507478,0.512691021401445,-0.00459849249520341,0.000926687001085018,-0.018869901356268,1,2,1_0_adj
110,0.717115983357496,0.725950487121887,0.500191522267227,0.22575896485466,0.528166460516253,0.197784026605633,0.391543644833777,65.2096268926527,-46.7659526150376,-0.565093473237563,18.8559387876681,0.497672172031604,-0.00422923121514766,-0.000598190279139764,-0.02215825968136,0.717115983357496,0.716474230360188,0.504750362443987,0.211723867916201,0.504750362443987,0.211723867916201,0.373022961639539,65.2096268926527,-46.7659526150376,-0.565093473237563,18.8559387876681,0.504750362443987,-0.00452730792546972,,-0.0221602421652594,0.717115983357496,0.71742329159067,0.492480711971681,0.224942579618989,0.518850020372839,0.19857327121783,0.39343967280578,0.276723693427653,-46.7659526150374,-0.00291865728415539,18.8559387876681,0.491531491312964,-0.00424610769404021,-0.000563856971293245,-0.0196140681363432,1,2,1_0_adj
130,0.706019005580992,0.707134730859448,0.486752800065741,0.220381930793707,0.490183536865522,0.216951193993926,0.390155964112874,64.7721221429357,-46.733200855517,-0.56132626859982,18.8970306086716,0.486440222461409,-0.00464233542796832,-7.34111239328053e-05,-0.0215024605675918,0.706019005580992,0.706470474961103,0.487840934323087,0.218629540638016,0.487840934323087,0.218629540638016,0.387630987500327,64.7721221429357,-46.733200855517,-0.56132626859982,18.8970306086716,0.487840934323087,-0.00467824879605281,,-0.0215024566154285,0.706019005580992,0.705958855485409,0.494501262603551,0.211457592881858,0.480422824934395,0.225536030551014,0.376401219892726,0.24405519476363,-46.7332008555169,-0.00228755870160268,18.8970306086716,0.495013398806885,-0.00482603430585237,0.000301251303386676,-0.0188882033669786,1,2,1_0_adj
150,0.718317570150652,0.721946828380761,0.506424665702343,0.215522162678418,0.562676252151584,0.159270576229177,0.377055017792784,64.8118536634939,-47.2890451207344,-0.557108620877745,19.0351712209489,0.502288624157861,-0.00336802267464992,-0.00118952679855607,-0.0224930696826052,0.718317570150652,0.715873524899673,0.528661454262932,0.187212070636741,0.528661454262932,0.187212070636741,0.33396019033829,64.8118536634939,-47.2890451207344,-0.557108620877745,19.0351712209489,0.528661454262932,-0.0039588887903904,,-0.0224895721043048,0.718317570150652,0.719208002569852,0.474103791639664,0.245104210930189,0.588858536258768,0.130349466311084,0.423850836934815,-1.07211484577031,-47.2890451207351,0.00945845654632134,19.0351712209489,0.470765913863349,-0.0027564410737896,-0.00242666656360096,-0.0202514791603919,1,2,1_0_adj
1000,0.694904922965107,0.693114582015248,0.513071424149142,0.180043157866106,0.481426958304514,0.211687623710734,0.329542415359852,65.636416397114,-46.7794404415787,-0.566457203627022,18.7922229731073,0.515653527281229,-0.0045252277862345,0.000676460974007315,-0.0225196559867023,0.694904922965107,0.69570782701935,0.499707159097979,0.196000667921371,0.499707159097979,0.196000667921371,0.355068586686467,65.636416397114,-46.7794404415787,-0.566457203627022,18.7922229731073,0.499707159097979,-0.00418988910665038,,-0.0225218235054233,0.694904922965107,0.694630975245552,0.516179890051957,0.178451085193595,0.481603064933894,0.213027910311658,0.326386116549696,-0.627910608730568,-46.779440441579,0.00542738963455547,18.7922229731073,0.517254830983893,-0.0045538789754807,0.000739145761293252,-0.0201224963034976,1,2,1_0_adj
90,0.674094836633751,0.66707955994312,0.445092132355502,0.221987427587619,0.431012597954174,0.236066961988946,0.408949636432883,63.7163149673984,-47.0418062723688,-0.543742192575746,19.0240419768437,0.446078248337534,-0.00501823762085442,0.000299298337308904,-0.0213593357109025,0.674094836633751,0.674184594885312,0.445138712169735,0.229045882715577,0.445138712169735,0.229045882715577,0.41740654440056,63.7163149673984,-47.0418062723688,-0.543742192575746,19.0240419768437,0.445138712169735,-0.00486898571431159,,-0.0213607066980678,0.674094836633751,0.674100988553194,0.446162367374011,0.227938621179183,0.443955621883542,0.230145366669653,0.41564609254724,0.040747468221076,-47.041806272369,-0.000511780841455549,19.0240419768437,0.446245998655853,-0.00489235820021718,4.69103052228208e-05,-0.0187155550834711,1,3,1_0_adj
110,0.669887556288304,0.671603494294821,0.508039718826323,0.163563775468499,0.512595159239052,0.159008335055769,0.308493505318341,64.4935598002824,-47.3481783530447,-0.551477611318941,18.8252555609154,0.507761576826218,-0.00335827777512678,-9.62115243117208e-05,-0.0219078534122354,0.669887556288304,0.670155476153173,0.508905496275688,0.161249979877484,0.508905496275688,0.161249979877484,0.30493357704856,64.4935598002824,-47.3481783530447,-0.551477611318941,18.8252555609154,0.508905496275688,-0.00340562162022682,,-0.02190694820196,0.669887556288304,0.669867586774283,0.515182972944295,0.154684613829988,0.502287413102049,0.167580173672234,0.293543082688043,-0.568276617742465,-47.3481783530449,0.00598833773831568,18.8252555609154,0.515470503264302,-0.00353931617860136,0.000272355986878581,-0.020006997968208,1,3,1_0_adj
130,0.727690264198907,0.729868957872014,0.52065791351452,0.209211044357494,0.540519888760112,0.189349069111902,0.364412810448953,65.9065674938155,-47.0519805173929,-0.566948510424769,18.9577341593829,0.519117394725297,-0.00402425290136105,-0.000422128357344066,-0.0226035251487292,0.727690264198907,0.726074663108843,0.526882958874965,0.199191704233878,0.526882958874965,0.199191704233878,0.349881304240139,65.9065674938155,-47.0519805173929,-0.566948510424769,18.9577341593829,0.526882958874965,-0.00423343931633753,,-0.0226025595285838,0.727690264198907,0.728324278904965,0.493786615025654,0.23453766387931,0.563955886255488,0.164368392649476,0.404157186959348,-0.120167472967651,-47.0519805173925,0.0011250850440602,18.9577341593829,0.491536769479539,-0.00349333632382846,-0.00149131387155736,-0.0201946347665711,1,3,1_0_adj
150,0.7320956942388,0.730986749877983,0.513423202962723,0.21756354691526,0.500975110621878,0.230011639256104,0.377046327683815,64.7959552795719,-46.9263924181979,-0.558515786705707,18.7656289244532,0.514459157002399,-0.00490154106043973,0.000265268470457085,-0.023122424545276,0.7320956942388,0.732398936534139,0.508532961930979,0.22386597460316,0.508532961930979,0.22386597460316,0.386286747218689,64.7959552795719,-46.9263924181979,-0.558515786705707,18.7656289244532,0.508532961930979,-0.00477057713297274,,-0.0231224360504055,0.7320956942388,0.732010402081517,0.513973807634668,0.218036594446849,0.502362360324139,0.229648041757378,0.377421515315453,-1.94192973321476,-46.9263924181977,0.0170986708652406,18.7656289244532,0.514362254351106,-0.00489379280876325,0.000247439590221433,-0.0203782565539045,1,3,1_0_adj
