cutoff,e.te2,e.te,e.pnde,e.tnie,e.tnde,e.pnie,e.pm,e.beta0,e.beta1,e.beta2,e.sigma,e.theta1,e.theta2,e.theta3,e.theta4,interaction,iter,method
90,0.0270881806429594,0.54446080129106,0.151897552469969,0.392563248821091,1.30471079835892,-0.760249997067859,0.773323477378213,62.9807259045178,-47.0578319160432,-0.533161034182863,19.1784940210828,0.162636482988273,0.0161556528661209,-0.0244977976874436,-0.0186607271955073,1,1,H0I1
110,0.20525643544905,0.512117309430515,0.126481360958565,0.38563594847195,1.21731381067544,-0.705196501244928,0.798408952975234,63.1004397105763,-46.9638771326968,-0.542492653169804,19.3363004663321,0.109604041985819,0.0150157215353492,-0.0232270527119114,-0.0212257988970707,1,1,H0I1
130,0.380561679160846,0.537199289872392,0.172316103132919,0.364883186739473,1.20212649726948,-0.664927207397087,0.735585875460259,65.4182500836929,-46.9485826460419,-0.563495596824345,19.2551481091476,0.15001991687121,0.01416288138899,-0.0219348558805402,-0.0210541061113278,1,1,H0I1
150,0.458923389778407,0.53203860774676,0.207242924318217,0.324795683428544,1.24691283934978,-0.71487423160302,0.672150297640998,64.8290747420143,-46.8075586042769,-0.563170313392954,19.204114718315,0.180263778866581,0.0152726237582001,-0.0222115817622791,-0.0193661539161454,1,1,H0I1
1000,0.486964361962605,0.525881870326392,0.181421951562237,0.344459918764155,1.21220304675206,-0.686321176425672,0.71252130771228,64.8003119668517,-46.86776197115,-0.55812076030801,19.2965436148245,0.163471741147607,0.0146437795951969,-0.0219933927253521,-0.0196730423667159,1,1,H0I1
90,0.0438770523998163,0.611954533724086,0.183031155597525,0.428923378126561,1.34168363589157,-0.729729102167487,0.762032960185973,66.6771374171726,-47.1468220679984,-0.583718143214634,19.2878173316151,0.129401202039942,0.0154778004149468,-0.024575409952827,-0.0190232865746528,1,2,H0I1
110,0.205146555677846,0.517189020608834,0.131410693178409,0.385778327430425,1.19078244414844,-0.673593423539602,0.79265498217404,65.3904808689395,-47.0651704715942,-0.564704217684493,19.2154735671807,0.103386442862482,0.0143119299641365,-0.0225086139146017,-0.0200264454963286,1,2,H0I1
130,0.345278526074135,0.508341727379962,0.132048686702258,0.376293040677703,1.23161445750491,-0.723272730124948,0.786932733186637,63.9128911949764,-46.5329183338227,-0.552081008096694,19.1362995433027,0.109091704849161,0.0155432488660234,-0.0236298476470887,-0.0185671270498308,1,2,H0I1
150,0.418652393811084,0.493362856767969,0.151970122759259,0.34139273400871,1.21786963256648,-0.724506775798516,0.742675335671591,64.2292131271726,-46.6947637997508,-0.554459183829748,19.0093854240923,0.133172423443395,0.0155158034186776,-0.0228269600929626,-0.0192854746981628,1,2,H0I1
1000,0.508734665846056,0.548909452849781,0.207086745462819,0.341822707386962,1.28908913303119,-0.740179680181408,0.685396987355533,65.7851028483378,-47.4238141680133,-0.565907060233607,19.0398297469773,0.193370180290244,0.0156077635923398,-0.0228155918403157,-0.0193378182504883,1,2,H0I1
90,0.0249417931693354,0.515503478250326,0.19459065326354,0.320912824986786,1.2584229238516,-0.742919445601279,0.681512908749228,64.041590529792,-46.9847981837247,-0.547526087234222,19.2947868904906,0.194825363835266,0.0158119109652496,-0.0226420525725823,-0.0209157354492708,1,3,H0I1
110,0.226911046116304,0.571031561636666,0.163039934523548,0.407991627113119,1.32131944038709,-0.750287878750425,0.770048670611006,66.9045807772988,-47.3969882691892,-0.579821392284985,19.3857565628571,0.130856187632168,0.0158298640092741,-0.0244378292410721,-0.0198501785629453,1,3,H0I1
130,0.36782736852056,0.531611448145295,0.163216180708184,0.368395267437111,1.2553875161826,-0.723776068037307,0.747330512138129,65.2795596827307,-46.7979772955242,-0.563843445149316,19.1853595198442,0.140249871681333,0.0154659690410707,-0.0233380030204612,-0.0197645688753897,1,3,H0I1
150,0.451084715222509,0.522486545977782,0.172065410377594,0.350421135600188,1.22295696986114,-0.700470423883362,0.726389772827493,63.9913647944382,-46.878197429878,-0.550497772932778,19.3449395391276,0.15701983168384,0.0149423497977103,-0.0224174907974119,-0.0202705142247209,1,3,H0I1
1000,0.49017879612714,0.536109158560944,0.137542145697898,0.398567012863047,1.24401291462176,-0.707903756060814,0.792131536771958,65.1216355541842,-46.6804614205594,-0.562669565528516,19.3029303601815,0.109948193350965,0.0151648834334151,-0.0237030812303954,-0.0197186888854686,1,3,H0I1
