cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.beta2,e1.sigma,e1.theta1,e1.theta2,e1.theta3,e1.theta4,e2.te2,e2.te,e2.pnde,e2.tnie,e2.tnde,e2.pnie,e2.pm,e2.beta0,e2.beta1,e2.beta2,e2.sigma,e2.theta1,e2.theta2,e2.theta3,e2.theta4,e3.te2,e3.te,e3.pnde,e3.tnie,e3.tnde,e3.pnie,e3.pm,e3.beta0,e3.beta1,e3.beta2,e3.sigma,e3.theta1,e3.theta2,e3.theta3,e3.theta4,interaction,iter,method
90,-0.683551117352436,-0.654122468421691,0.0356444168262112,-0.689766885247902,0.106127528646168,-0.760249997067859,1.0755824833177,62.9807259045178,-47.0578319160432,-0.533161034182863,19.1784940210828,0.0426364829882731,0.0161556528661209,-0.00149779768744355,-0.0186607271955073,-0.683551117352436,-0.677937316446029,0.046990388167465,-0.724927704613494,0.046990388167465,-0.724927704613494,1.0977215621693,62.9807259045178,-47.0578319160432,-0.533161034182863,19.1784940210828,0.046990388167465,0.0154050383346783,,-0.0186699246784848,-0.683551117352436,-0.677478396543482,1.70432746587413,-2.38180586241762,1.71757758131177,-2.39505597785525,10.139710057429,62.9807259045149,-47.0578319160433,-0.533161034182856,2.48043661051772e-12,1.70404628969467,0.0508960119991995,-0.00028157088625073,0,1,1,1_0_adj
110,-0.731906342663983,-0.737236027450512,-0.0502808011804124,-0.686955226270099,-0.0668003642677679,-0.670435663182744,0.905979898071755,63.2723174246364,-47.0556683724434,-0.542241854953673,19.1610781980326,-0.0515090854334949,0.0142477131102735,0.000351064253441349,-0.0208119572911228,-0.731906342663983,-0.734325701681456,-0.0555537548737292,-0.678771946807727,-0.0555537548737292,-0.678771946807727,0.896113360614771,63.2723174246364,-47.0556683724434,-0.542241854953673,19.1610781980326,-0.0555537548737292,0.0144248710152256,,-0.0208114411906455,-0.731906342663983,-0.730603287086916,1.75238823581993,-2.48299152290684,1.75690107822703,-2.48750436531395,10.1985556063662,63.2723174246341,-47.055668372444,-0.542241854953674,2.74939766917289e-12,1.75221592401215,0.0528630120738151,-9.59043312569364e-05,0,1,1,1_0_adj
130,-0.683362681625875,-0.681178533894439,0.045910395166022,-0.727088929060461,0.0583854456921302,-0.739563979586569,1.09510631755032,65.4272456692704,-47.1478092624931,-0.563620755093363,19.2841705868473,0.046856818248953,0.0156860730361634,-0.000264594489569047,-0.0191403963628717,-0.683362681625875,-0.681627983958794,0.0517278497157403,-0.733355833674535,0.0517278497157403,-0.733355833674535,1.10742278875785,65.4272456692704,-47.1478092624931,-0.563620755093363,19.2841705868473,0.0517278497157403,0.0155543989242769,,-0.0191381109132159,-0.683362681625875,-0.691330652217406,1.67310006002519,-2.3644307122426,1.62288945012746,-2.31422010234486,9.67309201289219,65.4272456692675,-47.1478092624936,-0.56362075509336,2.82221456501699e-12,1.67545069129443,0.0490843612576044,0.00106496167442674,0,1,1,1_0_adj
150,-0.746054637333448,-0.745285201392085,-0.0771328219061593,-0.668152379485926,-0.0561814379443724,-0.689103763447713,0.858711525110802,65.2980462228991,-46.5418146717506,-0.56362423267314,19.3303819449331,-0.0757321215314887,0.0148061215126186,-0.000450162592704056,-0.0200380639414311,-0.746054637333448,-0.744490445497396,-0.0659878742201555,-0.67850257127724,-0.0659878742201555,-0.67850257127724,0.878371623957281,65.2980462228991,-46.5418146717506,-0.56362423267314,19.3303819449331,-0.0659878742201555,0.0145783437122633,,-0.0200376825832442,-0.746054637333448,-0.746337809356775,1.57091080667056,-2.31724861602734,1.56733171498544,-2.31366952434221,8.24667306684323,65.2980462228964,-46.5418146717497,-0.563624232673144,2.63868847456975e-12,1.57109051264746,0.0497116311570589,7.69005615781455e-05,0,1,1,1_0_adj
1000,-0.692123241308599,-0.692886252690435,-0.0102426257239929,-0.682643626966442,-0.0453609855125973,-0.647525267177838,0.979613982685621,65.7594152779852,-47.3236806193642,-0.565325370906344,19.2409674060626,-0.012560427817961,0.013682901640429,0.000742088513171024,-0.0206694781892794,-0.692123241308599,-0.695111123521613,-0.030013592053047,-0.665097531468566,-0.030013592053047,-0.665097531468566,0.940980483798618,65.7594152779852,-47.3236806193642,-0.565325370906344,19.2409674060626,-0.030013592053047,0.0140542223843092,,-0.0206644602523916,-0.692123241308599,-0.693636479239534,1.71625588890549,-2.40989236814503,1.6837761391411,-2.37741261838063,10.1228542183175,65.7594152779825,-47.323680619364,-0.565325370906345,2.7565360505394e-12,1.71768320470457,0.0502372720647566,0.000686331860483032,0,1,1,1_0_adj
90,-0.718551580635161,-0.709337221084243,-0.0306147604321287,-0.678722460652114,-0.00735691537372777,-0.701980305710515,0.940651371110736,65.4240701867269,-47.6295968569914,-0.561066752012622,19.2531593728523,-0.0289209136839577,0.0147383213806789,-0.000488306569720355,-0.0181017514962931,-0.718551580635161,-0.717733552753917,-0.0275412681809983,-0.690192284572918,-0.0275412681809983,-0.690192284572918,0.946957295600138,65.4240701867269,-47.6295968569914,-0.561066752012622,19.2531593728523,-0.0275412681809983,0.0144908277650393,,-0.0181155248865291,-0.718551580635161,-0.662750117427357,1.50770703271186,-2.17045715013922,1.62547569726759,-2.28822581469495,8.25669505147575,65.424070186724,-47.6295968569913,-0.56106675201262,2.66830423976489e-12,1.50299936159048,0.0480420991503536,-0.00247259419199642,0,1,2,1_0_adj
110,-0.723465736851223,-0.733261660785737,0.00362505085721545,-0.736886711642952,-0.0380429880938839,-0.695218672691853,1.00698846821591,65.4133029779886,-46.9802425757078,-0.565424943098374,19.1274950362297,0.000841335884935533,0.0147981073441994,0.000886926858326711,-0.0184598506599587,-0.723465736851223,-0.725669372442062,-0.00962703616858768,-0.716042336273475,-0.00962703616858768,-0.716042336273475,0.98143245428463,65.4133029779886,-46.9802425757078,-0.565424943098374,19.1274950362297,-0.00962703616858768,0.0152413503425314,,-0.0184777266619408,-0.723465736851223,-0.782211276050264,1.57483178221186,-2.35704305826212,1.37964623604491,-2.16185751209517,8.05839102719357,65.4133029779848,-46.9802425757077,-0.565424943098364,2.84286190081842e-12,1.58495948410909,0.0460163122532069,0.0041546304460309,0,1,2,1_0_adj
130,-0.715531333253401,-0.706489330869931,-0.0504045266517643,-0.656084804218167,0.00297024748277563,-0.709459578352707,0.90297532952425,66.4442982771015,-47.3907661758977,-0.572492827973751,19.2071391970125,-0.0469579052252655,0.0149704179864796,-0.00112626949174934,-0.0203163219997109,-0.715531333253401,-0.709026005659974,-0.0265244652256448,-0.682501540434329,-0.0265244652256448,-0.682501540434329,0.948460363038703,66.4442982771015,-47.3907661758977,-0.572492827973751,19.2071391970125,-0.0265244652256448,0.0144015721944888,,-0.0203111389036413,-0.715531333253401,-0.73100596896511,1.69068051704333,-2.42168648600844,1.5937879343419,-2.32479390330701,9.52946112731989,66.4442982770982,-47.3907661758976,-0.572492827973746,2.68474118188503e-12,1.69529064246286,0.0490558412725003,0.00204454560497731,0,1,2,1_0_adj
150,-0.690327737163828,-0.6889989247183,0.0530563217712662,-0.742055246489566,-0.0315475291935262,-0.657451395524774,1.10943296708513,65.0574967392865,-46.9890392827197,-0.561736535320984,19.2577375736382,0.0473452963436201,0.0139915904977132,0.00180050182460116,-0.0192891647132582,-0.690327737163828,-0.692343873950231,0.00627266752156263,-0.698616541471794,0.00627266752156263,-0.698616541471794,1.01259488541855,65.0574967392865,-46.9890392827197,-0.561736535320984,19.2577375736382,0.00627266752156263,0.0148676489695483,,-0.0192846150849038,-0.690327737163828,-0.706240287540845,1.6965049764456,-2.40274526398644,1.49227290411919,-2.19851319166003,9.79529133687331,65.0574967392837,-46.9890392827192,-0.561736535320985,2.63874443903476e-12,1.70672281943843,0.0467877876462259,0.00434637684540865,0,1,2,1_0_adj
1000,-0.704932612069718,-0.700962216259585,0.00160136682823566,-0.702563583087821,0.0225355282068006,-0.723497744466386,1.00318054023895,64.3621822996815,-46.6123160262734,-0.554862246972225,19.0138297289799,0.00308747365780179,0.0155216004297787,-0.000449112233916143,-0.0205897408176951,-0.704932612069718,-0.699461156474928,0.013787481692375,-0.713248638167303,0.013787481692375,-0.713248638167303,1.02759226663596,64.3621822996815,-46.6123160262734,-0.554862246972225,19.0138297289799,0.013787481692375,0.0153017206389246,,-0.0205890126607297,-0.704932612069718,-0.707411840867899,1.76774973073081,-2.47516157159871,1.71494620275179,-2.42235804361969,10.5796342157639,64.3621822996789,-46.6123160262737,-0.554862246972222,2.41063450079309e-12,1.77026605727382,0.0519681974664012,0.00113282352134689,0,1,2,1_0_adj
