cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.beta2,e1.sigma,e1.theta1,e1.theta2,e1.theta3,e1.theta4,e2.te2,e2.te,e2.pnde,e2.tnie,e2.tnde,e2.pnie,e2.pm,e2.beta0,e2.beta1,e2.beta2,e2.sigma,e2.theta1,e2.theta2,e2.theta3,e2.theta4,e3.te2,e3.te,e3.pnde,e3.tnie,e3.tnde,e3.pnie,e3.pm,e3.beta0,e3.beta1,e3.beta2,e3.sigma,e3.theta1,e3.theta2,e3.theta3,e3.theta4,interaction,iter,method
90,0.370922471643205,0.367643245671357,0.236097147804848,0.13154609786651,0.233145378307354,0.134497867364003,0.400672217475211,92.5803331586127,-25.6047148489474,-0.907847593483033,19.1136166152127,0.238202126723503,-0.00525285550561531,0.000115282264024709,-0.0223976644156738,0.370922471643205,0.372098028366037,0.239218887946352,0.132879140419684,0.239218887946352,0.132879140419684,0.400462680438265,92.5803331586127,-25.6047148489474,-0.907847593483033,19.1136166152127,0.239218887946352,-0.00518963562779717,,-0.0224127184201481,0.370922471643205,0.706735933504002,1.08837957281572,-0.381643639311719,1.32280839584034,-0.616072462336336,-0.917003417526089,92.5803331586112,-25.6047148489471,-0.907847593483029,1.11258462170005e-12,0.93857987287208,0.0240608991730939,-0.0091556896613616,0,1,1,1_0_adj
110,0.552043203252695,0.586324677866,0.38933977085297,0.196984907013029,0.438311650570742,0.148013027295257,0.403030257769211,98.2864387408835,-36.1654125790421,-0.910851410255238,19.2419985489989,0.372031910459914,-0.00409266801455021,-0.00135410814436971,-0.0190253802930211,0.552043203252695,0.552949117199118,0.376979336105214,0.175969781093903,0.376979336105214,0.175969781093903,0.379886962417093,98.2864387408835,-36.1654125790421,-0.910851410255238,19.2419985489989,0.376979336105214,-0.00486569262024342,,-0.0188858922691876,0.552043203252695,0.828967791251526,1.17756649684188,-0.348598705590356,1.61708672277723,-0.788118931525708,-0.740159934391974,98.2864387408808,-36.1654125790422,-0.910851410255235,2.36721256771957e-12,1.04369172510756,0.0217920625073256,-0.0121530543851739,0,1,1,1_0_adj
130,0.678033308319114,0.717837625059871,0.447338252069487,0.270499372990384,0.576439462893006,0.141398162166865,0.462718407132852,103.871010670827,-44.9248341940373,-0.924632304492897,19.5685250277173,0.421933690652532,-0.00314743870964875,-0.00287371591102397,-0.019277284615139,0.678033308319114,0.677330214496561,0.459638247894196,0.217691966602365,0.459638247894196,0.217691966602365,0.397592347410715,103.871010670827,-44.9248341940373,-0.924632304492897,19.5685250277173,0.459638247894196,-0.00484569326760606,,-0.0190246887384268,0.678033308319114,0.804016444559753,1.27840275789049,-0.474386313330738,1.73984738077074,-0.935830936210989,-1.09874808136237,103.871010670825,-44.9248341940379,-0.924632304492897,2.22747827547815e-12,1.20563068610844,0.0208310381774361,-0.0102714819355191,0,1,1,1_0_adj
150,0.72111747538103,0.756111457947073,0.396909727152527,0.359201730794547,0.606215776231893,0.14989568171518,0.568821830528236,104.434868290458,-49.2927969588305,-0.906660188046622,20.041030395171,0.369570940452728,-0.00304092465762034,-0.00424617919843704,-0.0196844644851951,0.72111747538103,0.720705429601544,0.437018706047084,0.28368672355446,0.437018706047084,0.28368672355446,0.480922558891728,104.434868290458,-49.2927969588305,-0.906660188046622,20.041030395171,0.437018706047084,-0.00575513545704044,,-0.0195459717541863,0.72111747538103,0.800386667059263,1.2447712330494,-0.444384565990137,1.89340919445737,-1.09302252739811,-1.01576736396638,104.434868290455,-49.2927969588303,-0.906660188046623,2.99450252013177e-12,1.1873412222863,0.0221740821140868,-0.0131588792161606,0,1,1,1_0_adj
1000,0.807972701622262,0.834117392356528,0.430716396454388,0.403400995902139,0.66497219395517,0.169145198401358,0.586761452429193,105.194018065832,-51.7207692968844,-0.904433426810299,20.4112400348781,0.405153514028777,-0.00327035349049897,-0.0045292403938565,-0.0214364712698505,0.807972701622262,0.807220084220784,0.481728516789204,0.325491567431581,0.481728516789204,0.325491567431581,0.501581425765233,105.194018065832,-51.7207692968844,-0.904433426810299,20.4112400348781,0.481728516789204,-0.00629324683017018,,-0.0213718901601361,0.807972701622262,0.85115291642385,1.41364536795337,-0.562492451529518,2.07198559794962,-1.22083268152577,-1.31752046257293,105.194018065827,-51.7207692968842,-0.904433426810287,2.76684829986088e-12,1.37115692068359,0.0236043024518453,-0.0127287400969867,0,1,1,1_0_adj
90,0.364778204933923,0.386572598443334,0.266107607088508,0.120464991354827,0.280159893237772,0.106412705205562,0.35397783627952,91.2566710303054,-25.6336687338849,-0.893372604026962,19.2283821695053,0.256467988087422,-0.00415128658758456,-0.00054819644800547,-0.0177711797994154,0.364778204933923,0.365852360997318,0.252046410395461,0.113805950601857,0.252046410395461,0.113805950601857,0.351079339744984,91.2566710303054,-25.6336687338849,-0.893372604026962,19.2283821695053,0.252046410395461,-0.00443970591113312,,-0.0177035115202996,0.364778204933923,0.805589050802993,1.04108649890275,-0.235497448099752,1.35421848126907,-0.548629430466075,-0.48002527606745,91.2566710303044,-25.6336687338849,-0.893372604026967,1.34137842845815e-12,0.846270770929502,0.0214026886342979,-0.0122156522196293,0,1,2,1_0_adj
110,0.557803664009388,0.619515757353669,0.397310611557143,0.222205145796526,0.48788509384369,0.13163066350998,0.431466173612721,98.2970208482709,-36.136461616831,-0.914072493375316,19.3231999684606,0.364175972884549,-0.00364259967967287,-0.00250645686472967,-0.0193177914744687,0.557803664009388,0.557002781277348,0.374683633245165,0.182319148032183,0.374683633245165,0.182319148032183,0.390245602217458,98.2970208482709,-36.136461616831,-0.914072493375316,19.3231999684606,0.374683633245165,-0.00504529607700345,,-0.0190613951011675,0.557803664009388,0.833813264328139,1.18283663838511,-0.349023374056976,1.6162997175125,-0.782486453184357,-0.738463060532438,98.2970208482689,-36.1364616168304,-0.914072493375315,1.63227071828743e-12,1.04619149505835,0.0216536544579649,-0.0119951721815923,0,1,2,1_0_adj
130,0.673247176995477,0.714942149499767,0.413864646818304,0.301077502681462,0.543370724849519,0.171571424650247,0.508985851172628,102.087284838372,-44.5304941734764,-0.911085777745058,19.675384379857,0.386825229051388,-0.00385289738716711,-0.00290825602623454,-0.0189981286201175,0.673247176995477,0.673588900337145,0.42573678843832,0.247852111898825,0.42573678843832,0.247852111898825,0.447895578876835,102.087284838372,-44.5304941734764,-0.911085777745058,19.675384379857,0.42573678843832,-0.00556589628072109,,-0.0187739180192649,0.673247176995477,0.823519955637495,1.20938444038238,-0.385864484744884,1.76906627733354,-0.945546321696047,-0.839194385781541,102.087284838369,-44.530494173476,-0.911085777745054,2.37551042830998e-12,1.11835063596232,0.021233681306399,-0.0125685072070125,0,1,2,1_0_adj
150,0.754249706761154,0.785350801605969,0.461717163007913,0.323633638598056,0.676962604639968,0.108388196966001,0.508206376345755,103.981873386261,-49.6760810189793,-0.902676011282567,20.1191801922349,0.435288609601553,-0.00218189911004835,-0.0043329795188517,-0.0197640190087778,0.754249706761154,0.751078761309046,0.50431892683106,0.246759834477987,0.50431892683106,0.246759834477987,0.414038976516578,103.981873386261,-49.6760810189793,-0.902676011282567,20.1191801922349,0.50431892683106,-0.00496737724507111,,-0.0195942693765171,0.754249706761154,0.813888037036267,1.38995596969399,-0.576067932657721,1.88905749439364,-1.07516945735738,-1.39894753535789,103.981873386257,-49.6760810189791,-0.902676011282556,2.49621631751323e-12,1.34635902661234,0.0216436046343229,-0.0100471195485201,0,1,2,1_0_adj
1000,0.756463217881229,0.778563752918298,0.433805227040555,0.344758525877743,0.611134062331553,0.167429690586745,0.539082400241048,105.90490441649,-50.8708012065238,-0.914520720053611,20.1954423970559,0.413270638818816,-0.00329127292308644,-0.00348586676610584,-0.0201631414192696,0.756463217881229,0.757411164370064,0.469354773168051,0.288056391202014,0.469354773168051,0.288056391202014,0.471230752453758,105.90490441649,-50.8708012065238,-0.914520720053611,20.1954423970559,0.469354773168051,-0.00566250942328529,,-0.0201344967896889,0.756463217881229,0.798941687632599,1.34103753165573,-0.542095844023131,1.91220823656347,-1.11326654893087,-1.30791225743024,105.904904416488,-50.8708012065246,-0.914520720053614,2.80658746901068e-12,1.29794966281247,0.0218841953051072,-0.0112278692562538,0,1,2,1_0_adj
90,0.354713363097743,0.384292426912062,0.244717678995554,0.139574747916508,0.264634863063303,0.119657563848759,0.408289461552743,91.8194468076671,-25.7485502015909,-0.896712452760152,19.2818214630532,0.231059057196997,-0.00464715733165302,-0.000773526428160568,-0.0181416523683654,0.354713363097743,0.354788360938842,0.224507597202359,0.130280763736483,0.224507597202359,0.130280763736483,0.408972245574699,91.8194468076671,-25.7485502015909,-0.896712452760152,19.2818214630532,0.224507597202359,-0.0050597320127342,,-0.0180358518075972,0.354713363097743,0.691493054905553,0.957418035494806,-0.265924980589254,1.19668560387082,-0.505192548965271,-0.61028468673302,91.8194468076654,-25.7485502015913,-0.89671245276015,1.81699156532013e-12,0.810726700423239,0.0196202327901961,-0.00929246759536895,0,1,3,1_0_adj
110,0.511469602901392,0.568419439881069,0.380174249446218,0.18824519043485,0.466282915610777,0.102136524270291,0.395748035566415,97.7490039559298,-36.7787563635916,-0.901914044958653,19.2628653943905,0.352206715351242,-0.00277705214555323,-0.00234126095274391,-0.0187911010416217,0.511469602901392,0.511706180240064,0.362089518087061,0.149616662153003,0.362089518087061,0.149616662153003,0.346946988039483,97.7490039559298,-36.7787563635916,-0.901914044958653,19.2628653943905,0.362089518087061,-0.00406801852335368,,-0.0185069084794634,0.511469602901392,0.820017112968018,1.17405953360244,-0.35404242063442,1.67555632153012,-0.855539208562104,-0.759174296193494,97.7490039559273,-36.7787563635915,-0.901914044958646,1.87251143109958e-12,1.03115018601476,0.0232617764479125,-0.0136355015098915,0,1,3,1_0_adj
130,0.694471448756793,0.732029841831361,0.467280865580961,0.2647489762504,0.59399093306188,0.138038908769481,0.448113429798872,103.50691856709,-44.8317477948961,-0.918987141180538,19.7156344836648,0.44320691622689,-0.00307904365899374,-0.00282634681254484,-0.0195704929959675,0.694471448756793,0.692587925114146,0.479240638009055,0.213347287105092,0.479240638009055,0.213347287105092,0.384464026254022,103.50691856709,-44.8317477948961,-0.918987141180538,19.7156344836648,0.479240638009055,-0.00475884384613219,,-0.019348407054841,0.694471448756793,0.798147315791401,1.33540357141739,-0.537256255625993,1.71970055737959,-0.921553241588186,-1.29366338911442,103.506918567087,-44.8317477948966,-0.918987141180535,2.49490975740527e-12,1.2773580586798,0.0205558178504272,-0.00857198313392411,0,1,3,1_0_adj
