cutoff,e0.te2,e0.te,e0.pnde,e0.tnie,e0.tnde,e0.pnie,e0.pm,e0.beta0,e0.beta1,e0.beta2,e0.sigma,e0.theta1,e0.theta2,e0.theta4,interaction,iter,method
90,8.00836146324199,-0.322373956926796,-0.423058954540235,0.100684997613439,-0.423058954540235,0.100684997613439,-0.251792736917524,62.9807259045178,-47.0578319160432,-0.533161034182863,19.1784940210828,-0.423058954540235,-0.00213960128450188,0.0153998677972567,0,1,H0I0
110,7.82559557844235,-0.33477233640664,-0.427983893699215,0.0932115572925752,-0.427983893699215,0.0932115572925752,-0.223828693676592,63.1004397105763,-46.9638771326968,-0.542492653169804,19.3363004663321,-0.427983893699215,-0.00198475004585344,0.0140914066159359,0,1,H0I0
130,7.93172583192755,-0.311002989252507,-0.416542186127998,0.105539196875491,-0.416542186127998,0.105539196875491,-0.274568635127721,65.4182500836929,-46.9485826460419,-0.563495596824345,19.2551481091476,-0.416542186127998,-0.0022479740798818,0.0143440907177938,0,1,H0I0
150,7.82433587272613,-0.32455453932778,-0.426402456826124,0.101847917498344,-0.426402456826124,0.101847917498344,-0.252554782129938,64.8290747420143,-46.8075586042769,-0.563170313392954,19.204114718315,-0.426402456826124,-0.00217588612897743,0.0140684235799176,0,1,H0I0
1000,8.06535761945513,-0.323388233961481,-0.44444116204326,0.121052928081779,-0.44444116204326,0.121052928081779,-0.29861818979939,64.8003119668517,-46.86776197115,-0.55812076030801,19.2965436148245,-0.44444116204326,-0.00258286128866778,0.0152443340030174,0,1,H0I0
90,7.88360828648556,-0.310927971725687,-0.408745328013541,0.0978173562878537,-0.408745328013541,0.0978173562878537,-0.255519076443386,66.6771374171726,-47.1468220679984,-0.583718143214634,19.2878173316151,-0.408745328013541,-0.00207473912338725,0.013853132873043,0,2,H0I0
110,7.84593218178408,-0.328573597197762,-0.467518221134685,0.138944623936923,-0.467518221134685,0.138944623936923,-0.333492618816315,65.3904808689395,-47.0651704715942,-0.564704217684493,19.2154735671807,-0.467518221134685,-0.00295217509136149,0.013687273558156,0,2,H0I0
130,7.92890278005278,-0.302683701776139,-0.414255467348446,0.111571765572307,-0.414255467348446,0.111571765572307,-0.298661652636272,63.9128911949764,-46.5329183338227,-0.552081008096694,19.1362995433027,-0.414255467348446,-0.00239769542868345,0.0142646790074112,0,2,H0I0
150,8.06919059622906,-0.337141945902952,-0.432032500028714,0.0948905541257624,-0.432032500028714,0.0948905541257624,-0.225789408743505,64.2292131271726,-46.6947637997508,-0.554459183829748,19.0093854240923,-0.432032500028714,-0.00203214549992581,0.0155035252053318,0,2,H0I0
1000,7.92373219544843,-0.330905309102001,-0.419499508497835,0.0885941993958341,-0.419499508497835,0.0885941993958341,-0.216157734746312,65.7851028483378,-47.4238141680133,-0.565907060233607,19.0398297469773,-0.419499508497835,-0.00186813736832643,0.0146218910514575,0,2,H0I0
90,7.81177266944478,-0.299958833508122,-0.401662924147223,0.101704090639101,-0.401662924147223,0.101704090639101,-0.276450252313614,64.041590529792,-46.9847981837247,-0.547526087234222,19.2947868904906,-0.401662924147223,-0.00216461695209177,0.0134942082720654,0,3,H0I0
110,7.86460674540003,-0.313843245886007,-0.410550444262963,0.0967071983769563,-0.410550444262963,0.0967071983769563,-0.25002557134747,66.9045807772988,-47.3969882691892,-0.579821392284985,19.3857565628571,-0.410550444262963,-0.00204036589472124,0.0140486417791048,0,3,H0I0
130,7.98461729760434,-0.286641578185442,-0.397143588497525,0.110502010312083,-0.397143588497525,0.110502010312083,-0.315157405176263,65.2795596827307,-46.7979772955242,-0.563843445149316,19.1853595198442,-0.397143588497525,-0.00236125612041466,0.0145990070195364,0,3,H0I0
150,7.83838131953752,-0.306561183486823,-0.423840272931592,0.117279089444769,-0.423840272931592,0.117279089444769,-0.308473066220432,63.9913647944382,-46.878197429878,-0.550497772932778,19.3449395391276,-0.423840272931592,-0.00250178325692235,0.0137895285365826,0,3,H0I0
1000,7.84993051033559,-0.340713408603627,-0.442192340596488,0.10147893199286,-0.442192340596488,0.10147893199286,-0.237713330487146,65.1216355541842,-46.6804614205594,-0.562669565528516,19.3029303601815,-0.442192340596488,-0.00217390593204733,0.0142109371967241,0,3,H0I0
90,7.88302581178652,-0.317942933999956,-0.441400043309894,0.123457109309937,-0.441400043309894,0.123457109309937,-0.310288865943877,64.1721679092654,-47.1578900029032,-0.550390414858938,19.2516054936178,-0.441400043309894,-0.00261795235754478,0.0139891621381168,0,4,H0I0
110,7.90766887690385,-0.330648382192895,-0.445968646906562,0.115320264713668,-0.445968646906562,0.115320264713668,-0.277947278838376,64.0806324095292,-46.7860335148338,-0.551670228787095,19.0884977063279,-0.445968646906562,-0.00246484380166796,0.0140889205108735,0,4,H0I0
130,7.87179275275332,-0.305440108674324,-0.401438664322656,0.0959985556483325,-0.401438664322656,0.0959985556483325,-0.256240156960294,64.0916358885902,-46.8097123194106,-0.553336373757381,19.1420170718764,-0.401438664322656,-0.00205082558494009,0.0141126387793941,0,4,H0I0
150,7.92098514584279,-0.33181071824434,-0.438495853017955,0.106685134773615,-0.438495853017955,0.106685134773615,-0.257164373494572,65.0058821095991,-47.2337990932867,-0.559430998352515,19.1035282409455,-0.438495853017955,-0.00225866089159824,0.0144464784322505,0,4,H0I0
1000,7.87525672501673,-0.304058448888882,-0.407472355996727,0.103413907107845,-0.407472355996727,0.103413907107845,-0.276479031017022,64.8425835523326,-46.8034071004888,-0.560963177121199,19.3282749341898,-0.407472355996727,-0.00220953801260261,0.0141103403774192,0,4,H0I0
